SMILES,Drugbank-ID,CAS Number,Name,Synonyms,Drug Type,Affected Organism,Dosage Form,Dosage Route,Dosage,Indication
C(C(=O)C1=C(C([H])([H])[H])C2N3[Fe]45N6C(C(=C(C6=C(C6=C(C(C(C(O[H])=O)([H])[H])([H])[H])C(C([H])([H])[H])=C(C([H])=C13)N64)[H])C(C(C(O[H])=O)([H])[H])([H])[H])C([H])([H])[H])=C([H])C1=C(C(=C(C=2[H])N51)C(O[H])=C([H])[H])C([H])([H])[H])([H])([H])[H],DB03418,,Diacetyldeuteroheme,,small molecule,,,,,
O=C1N([H])C([H])=C([H])C(=O)N1[H],DB03419,66-22-8,Uracil,,small molecule,,,,,
O=C1N([H])N(C(C(C2=C([H])C([H])=C([H])C([H])=C2[H])([H])[H])([H])[H])C(=O)C2=C1C(=C(C(=C2[H])[H])[H])[H],DB03421,,"2-Phenethyl-2,3-Dihydro-Phthalazine-1,4-Dione",,small molecule,,,,,
O(C(=O)C1=C([H])SC([H])=N1)[H],DB03422,,"1,3-Thiazole-4-Carboxylic Acid",,small molecule,,,,,
C(OC1=C([H])C2=C(N(C(=O)C2=C(C2=C([H])N=C([H])N2[H])[H])[H])C([H])=C1[H])([H])([H])[H],DB03428,,SU9516,,small molecule,,,,,
O(S(=O)(=O)C(C(C(N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])([H])[H])([H])[H])([H])[H])[H],DB03434,,3[N-Morpholino]Propane Sulfonic Acid,,small molecule,,,,,
C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(=O)N(C(C(O[H])=O)([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB03440,,N-Hexadecanoylglycine,,small molecule,,,,,
C(C1=NN(C2=C(C([H])([H])[H])C([H])=C(S(O[H])(=O)=O)C([H])=C2[H])C(O[H])=C1N=NC1=C(C(O[H])=O)C([H])=C([H])C(S(O[H])(=O)=O)=C1[H])([H])([H])[H],DB03442,,2-[5-Hydroxy-3-Methyl-1-(2-Methyl-4-Sulfo-Phenyl)-1h-Pyrazol-4-Ylazo]-4-Sulfo-Benzoic Acid,,small molecule,,,,,
N(C(N([H])[H])(C1=C([H])C2=C([N+]3=C(N2[H])C(=O)C2=[N+](C4=C(N2[H])C([H])=C(C(N([H])[H])(N([H])[H])[H])C([H])=C4[H])[Zn]3)C([H])=C1[H])[H])([H])[H],DB03443,,Bis(5-Amidino-Benzimidazolyl)Methanone Zinc,,small molecule,,,,,
O(N=C1C(=C2C(=O)N([H])C3=C2C(=C(C(Br)=C3[H])[H])[H])N([H])C2=C1C(=C(C(=C2[H])[H])[H])[H])[H],DB03444,,"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",,small molecule,,,,,
ClC1=C([H])C(C(N(C(C(C2=C([H])C([H])=C(N(C(=N[H])C3=C([H])C([H])=C([H])S3)[H])C([H])=C2[H])([H])[H])([H])[H])[H])([H])[H])=C([H])C([H])=C1[H],DB03449,,N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine,,small molecule,,,,,
C(C1=C([H])C([H])=C([H])C(O[H])=C1O[H])([H])([H])[H],DB03454,488-17-5,"3-methyl-benzene-1,2-diol",,small molecule,,,,,
C(C1=C([H])N([H])C(=O)N([H])C1=O)([H])([H])[H],DB03462,65-71-4,Thymine,,small molecule,,,,,
N(S(=O)(=O)C1=C([H])C2=C(C(C(N(C2([H])[H])[H])([H])[H])([H])[H])C([H])=C1[H])([H])[H],DB03468,,"1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide",,small molecule,,,,,
N(C1=NC(N(C2=C3C(O[H])=C(N=NC4=C(S(O[H])(=O)=O)C([H])=C([H])C([H])=C4[H])C(=C([H])C3=C([H])C(S(O[H])(=O)=O)=C2[H])S(O[H])(=O)=O)[H])=NC(N([H])[H])=N1)([H])[H],DB03474,,Reactive Red 1 Dye,,small molecule,,,,,
C(C(C(C(C([H])([H])[H])([H])[H])(N(C1=C(N2C(=O)C([H])([H])C([H])([H])C2(C(O[H])([H])[H])C(O[H])([H])[H])C([H])=C([H])C(C(O[H])=O)=C1[H])[H])[H])([H])[H])([H])([H])[H],DB03475,,"1-[4-Carboxy-2-(3-Pentylamino)Phenyl]-5,5'-Di(Hydroxymethyl)Pyrrolidin-2-One",,small molecule,,,,,
N(S(=O)(=O)C1=C([H])C([H])=C(N2N=C(C(F)(F)F)C([H])=C2C2=C([H])C([H])=C(Br)C([H])=C2[H])C([H])=C1[H])([H])[H],DB03477,,1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole,,small molecule,,,,,
C(C1=C(C2=C([H])C([H])=C(C3=C([H])C([H])=C([H])C([H])=C3[H])C([H])=C2[H])N=C2C(=C(C(F)=C([H])C2=C1C(O[H])=O)[H])[H])([H])([H])[H],DB03480,,Brequinar Analog,,small molecule,,,,,
C1(C2=C(C(=C(C(=C2[H])[H])[H])[H])C2=NN(C(C3=C([H])C([H])=NC([H])=C3[H])=C12)[H])([H])[H],DB03490,,"3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole",,small molecule,,,,,
C1(C([H])=C([H])N2C(C3=C([H])C([H])([H])C([H])=C([H])N3[Os+2]32(N2C([H])=C([H])N=C2[H])N2C(=C(C(C([H])=C2C2=C(C(C(=C([H])N32)[H])([H])[H])[H])([H])[H])[H])[H])=C1[H])([H])[H],"DB03492
DB04550",,"lambda-bis(2,2'-bipyridine)imidazole osmium (II)","delta-bis(2,2'-bipyridine)imidazole osmium (II)",small molecule,,,,,
[O-]P([O-])(=O)C(S[H])([H])[H],DB03498,,Mercaptomethyl Phosphonate,,small molecule,,,,,
C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB03500,,Tricosanoic Acid,,small molecule,,,,,
C(C(C(C(N1C(C(C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2Cl)([H])[H])=NC2=C1N=C(N=C2N([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB03504,,"9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine",,small molecule,,,,,
N(C1=C([H])C([H])=C2N=C(N([H])[H])N=C(O[H])C2=C1[H])([H])[H],DB03505,,"2,6-Diaminoquinazolin-4(3h)-One",,small molecule,,,,,
N(=C1N([H])C([H])=NC2=C1N(C(=C2[H])[H])[H])[H],DB03506,,9-Deazaadenine,,small molecule,,,,,
[O-][N+](=O)C1=C([H])C([H])=C([H])C(C2=C([H])C3=C(C(=C4N3C(=S)N(C(C(C(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])([H])[H])([H])[H])([H])[H])C4=O)[H])S2)=C1[H],DB03507,,"6-[3-(4-Morpholinyl)Propyl]-2-(3-Nitrophenyl)-5-Thioxo-5,6,-Dihydro-7h-Thienol[2',3':4,5]Pyrrolo[1,2-C]Imidazol-7-One",,small molecule,,,,,
C(C(OC(C(OC(C(OC([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB03508,,1-Ethoxy-2-(2-Methoxyethoxy)Ethane,,small molecule,,,,,
N(C(=O)C1=C2N=C(C(=NC2=C([H])C([H])=C1[H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H])([H])[H],DB03509,,2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,,small molecule,,,,,
C(OC1=C(O[H])C([H])=C([H])C(C(=C([H])[H])[H])=C1[H])([H])([H])[H],DB03514,,2-Methoxy-4-Vinyl-Phenol,,small molecule,,,,,
O=C1N([H])C([H])=C(C#C[H])C(=O)N1[H],DB03516,59989-18-3,Eniluracil,"5-ethynyl-2,4(1H,3H)-Pyrimidinedione
5-Ethynyluracil
Compound 776C",small molecule,Humans and other mammals,,,,For the treatment of cancer in combination with 5-fluorouracil.
C(SC(C([O-])=O)([H])[H])([H])([H])[H],DB03517,,[Methylthio]Acetate,,small molecule,,,,,
FC1=NC(Cl)=C2N=C(N=C2N1[H])[H],DB03520,,6-Chloro-2-Fluoropurine,,small molecule,,,,,
C(C1=C(C(O[H])=O)C2=C(C(F)=C(C([H])=C2N=C1C1=C([H])C([H])=C(C2=C(F)C([H])=C([H])C([H])=C2[H])C([H])=C1[H])[H])[H])([H])([H])[H],DB03523,96187-53-0,Brequinar,,small molecule,,,,,
O(P(O[H])(=O)OC1=C2N(C(C(C([H])([H])C2=C([H])C([H])=C1[H])([H])[H])([H])[H])[H])[H],DB03525,,RU79073,,small molecule,,,,,
C(OC1=C([H])C([H])=C(C(N(S(=O)(=O)C2=C([H])C([H])=C(S(N([H])[H])(=O)=O)S2)[H])([H])[H])C([H])=C1[H])([H])([H])[H],DB03526,,AL5927,,small molecule,,,,,
C(N(C(C1=C(N([H])[H])C([H])=C([H])C(C(=O)N(C([H])([H])[H])C(C2=C([H])C3=C(C(=C(C(=C3[H])[H])[H])[H])N2C([H])([H])[H])([H])[H])=C1[H])([H])[H])C(C([H])([H])[H])=O)([H])([H])[H],DB03534,,3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide,,small molecule,,,,,
O(C(=O)C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])[H])[H],DB03553,110-94-1,Glutaric Acid,,small molecule,,,,,
IC1=C([H])N([H])C(=O)N([H])C1=O,DB03554,,5-Iodouracil,,small molecule,,,,,
C(C(OC(C(OC(C(OC(C(OC(C(OC(C(OC(C(OC(C(OC(C(O[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB03556,,"2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400",,small molecule,,,,,
O=C(N(C1(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[H])[H])[H],DB03559,,Cyclohexylformamide,,small molecule,,,,,
O(C1=C([H])C([H])=C(C(=O)[H])C([H])=C1[H])[H],DB03560,123-08-0,P-Hydroxybenzaldehyde,,small molecule,,,,,
N(C(C(C(C(N(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],DB03566,124-20-9,Spermidine,"1,5,10-Triazadecane
1,8-Diamino-4-azaoctane
4-Azaoctane-1,8-diamine
N-(3-Aminopropyl)-1,4-butane-diamine
N-(3-Aminopropyl)-1,4-butanediamine
N-(3-Aminopropyl)-1,4-diaminobutane
N-(3-aminopropyl)butane-1,4-diamine
Spermidin",small molecule,,,,,
C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])([H])[H],DB03568,107-92-6,Butyric Acid,"1-propanecarboxylic acid
Butanoic acid
Butyrate
Butyricum acidum
Ethylacetic acid
N-butanoic acid
N-butyric acid
Propylformic acid",small molecule,,,,,
C([N+](C(O[H])([H])[H])(C(O[H])([H])[H])C(O[H])([H])[H])([H])([H])[H],DB03570,,Tris-Hydroxymethyl-Methyl-Ammonium,,small molecule,,,,,
N(C1=NC2=NN(N=C2C(O[H])=N1)C1=C([H])C([H])=C([H])C(C(=O)N(C(C2=C([H])C(Cl)=C([H])C(Cl)=C2[H])([H])[H])[H])=C1[H])([H])[H],DB03571,,"3-(5-Amino-7-Hydroxy-[1,2,3]Triazolo[4,5-D]Pyrimidin-2-Yl)-N-(3,5-Dichlorobenzyl)-Benzamide",,small molecule,,,,,
C1(C([H])([H])C([H])([H])N(C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H])([H])[H],DB03575,77-10-1,Phencyclidine,"1-(1-Phenylcyclohexyl)piperidine
PCP",small molecule,Humans and other mammals,,,,
C(C(O[H])(C(N(C(C1=C(C(OP(O[H])(O[H])=O)([H])[H])C([H])=NC(C([H])([H])[H])=C1O[H])([H])[H])[H])(C(O[H])=O)[H])[H])([H])([H])[H],DB03576,,N-Pyridoxyl-Threonine-5-Monophosphate,,small molecule,,,,,
C(C(=O)C(N([H])[H])=O)([H])([H])[H],DB03578,,Pyruvamide,,small molecule,,,,,
C(C(=O)C(=O)[H])([H])([H])[H],DB03587,78-98-8,Pyruvaldehyde,"2-ketopropionaldehyde
2-oxopropanal
Acetyl formaldehyde
Acetylformyl
alpha-ketopropionaldehyde
Methyl glyoxal
Methylglyoxal
Pyruvic aldehyde",small molecule,,,,,
O(C(=O)C(C1=C([H])C([H])=C([H])C([H])=C1[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])[H])[H],DB03588,,Diphenylacetic Acid,,small molecule,,,,,
O(C(=O)C(=O)C(O[H])=O)[H],DB03589,,Alpha-Ketomalonic Acid,,small molecule,,,,,
N(C1=NC2=C(N=C(C(OP(O[H])(O[H])=O)([H])[H])C(=N2)[H])C(=O)N1[H])([H])[H],DB03592,,Pterin-6-Yl-Methyl-Monophosphate,,small molecule,,,,,
N1(C([H])=NC([H])=N1)[H],DB03594,63598-71-0,"1,2,4-Triazole",,small molecule,,,,,
N(C(=N[H])C1=C([H])C2=C(N(C(=N2)C2=C(O[H])C([H])=C([H])C(OC(F)(F)F)=C2[H])[H])C([H])=C1[H])([H])[H],DB03595,,CRA_9785,,small molecule,,,,,
C(OC1=C([H])C([H])=C([H])C(N2C(C(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])([H])[H])=C([H])C3=C(SC(=C3[H])S(N([H])[H])(=O)=O)S2(=O)=O)=C1[H])([H])([H])[H],DB03598,,"Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]",,small molecule,,,,,
C(C(C(C(C(C(C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],"DB03600
DB03838",334-48-5,Capric acid,"1-nonanecarboxylic acid
Decanoic acid
N-capric acid
N-decanoic acid",small molecule,,,,,
O(C(=O)C(C1=C([H])C(I)=C(OC2=C([H])C(I)=C(O[H])C([H])=C2[H])C(I)=C1[H])([H])[H])[H],"DB03604
DB12922",51-24-1,Tiratricol,"3',3,5-Triiodothyroacetic acid
Tiratricolum
Triacana
Triiodothyroacetic acid",small molecule,,,,,
N(C(=N[H])C1=C([H])C([H])=C(N(N=NC2=C([H])C([H])=C(C(N([H])[H])=N[H])C([H])=C2[H])[H])C([H])=C1[H])([H])[H],DB03608,536-71-0,Diminazene,"1,3-TRIS-(4'AMIDINOPHENYL)TRIAZINE
4,4'-(1-Triazene-1,3-diyl)bis-benzenecarboximidamide
4,4'-(Diazoamino)benzamidine
Diminazene aceturate
Diminazine
Diminazine aceturate",small molecule,,,,,
O(C1=C([H])C([H])=C(C(F)(F)F)C([H])=C1[H])[H],DB03610,,"Alpha,Alpha,Alpha-Trifluoro-P-Cresol",,small molecule,,,,,
O(C1=C([H])C([H])=C(C2=C([H])C3=C4C([H])=NC([H])=C([H])C4=C(C([H])=C3N=C2[H])[H])C([H])=C1[H])[H],DB03623,,"9-(4-Hydroxyphenyl)-2,7-Phenanthroline",,small molecule,,,,,
C(OC1=C([H])C(=O)C2=C(C(C(OC3=C([H])C([H])=C([H])C([H])=C3[H])([H])[H])=C(C([H])([H])[H])N2C([H])([H])[H])C1=O)([H])([H])[H],DB03626,,"5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione",,small molecule,,,,,
C1(C2(C([H])([H])C3(C(C(C2([H])[H])(C([H])([H])C1(C3([H])[H])[H])[H])([H])[H])[H])[H])([H])[H],DB03627,,Adamantane,,small molecule,,,,,
C(C(C1=C([H])C([H])=C(N(C(=O)P(O[H])(O[H])=O)[H])C([H])=C1[H])([H])[H])([H])([H])[H],DB03628,,ISO24,,small molecule,,,,,
C(C1=C(O[H])C(C(=O)[H])=C(C(OP(O[H])(O[H])=O)([H])[H])C([H])=[N+]1[O-])([H])([H])[H],DB03629,,Pyridoxal-5'-Phosphate-N-Oxide,,small molecule,,,,,
S(C(C1=C(I)C([H])=C([H])C([H])=C1[H])([H])[H])[H],DB03630,,2-Iodobenzylthio Group,,small molecule,,,,,
C(C(S(O[H])(=O)=O)([H])[H])([H])([H])[H],DB03635,,Ethanesulfonic Acid,,small molecule,,,,,
N(C(C(N([H])[H])=O)([H])[H])([H])[H],DB03636,,Glycinamid,,small molecule,,,,,
N(C(=[N+]([H])[H])N(C(C(C(O[H])([H])[H])([H])[H])([H])[H])[H])([H])[H],DB03637,,Guanidine-3-Propanol,,small molecule,,,,,
N(C(C(C(C(C(C(C(N(C(N([H])[H])(N([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],DB03639,,1-Guanidinium-7-Aminoheptane,,small molecule,,,,,
N(C(=N[H])C1=C([H])C2=C(N(C(=N2)C2=C(O[H])C([H])=C([H])C([H])=C2[H])[H])C([H])=C1[H])([H])[H],DB03643,,CRA_1144,,small molecule,,,,,
N(C1=C(C(O[H])=O)C([H])=C([H])C([H])=C1O[H])([H])[H],DB03644,548-93-6,3-Hydroxyanthranilic Acid,"2-Amino-3-hydroxy-benzoic acid
2-Amino-3-Hydroxybenzoic Acid
3-HYDROXY-ANTHRANILATE
3-Hydroxy-anthranilsaeure
3-hydroxyanthranilate
3-Oxyanthranilic acid",small molecule,,,,,
O(N(C(=O)C(P(O[H])(O[H])=O)([H])[H])[H])[H],DB03645,,Phosphonoacetohydroxamic Acid,,small molecule,,,,,
C(C(C([H])([H])[H])(N(C(=O)C1=C([H])C([H])=C(C([H])([H])[H])C([H])=C1[H])C1=C(C(O[H])=O)SC(C2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H])[H])([H])([H])[H],DB03647,,3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid,,small molecule,,,,,
O(P(O[H])(=O)C(N(C1=NC([H])=C(Cl)C([H])=C1[H])[H])(P(O[H])(O[H])=O)[H])[H],DB03649,,"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate",,small molecule,,,,,
O(C1=C([H])C([H])=C(N=C2C(=O)N([H])C3=C2C(=C(C(=C3[H])[H])[H])[H])C([H])=C1[H])[H],DB03650,,(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One,,small molecule,,,,,
O(C1=C([N+]([O-])=O)C([H])=C([N+]([O-])=O)C([H])=C1[N+]([O-])=O)[H],DB03651,88-89-1,Picric acid,"Picricum acidum
Trinitrophenol",small molecule,,"Aerosol, spray",Topical,,
C(C(N(C([H])([H])[H])C(C1=C([H])N=C(C([H])([H])[H])N=C1N([H])[H])([H])[H])([H])[H])([H])([H])[H],DB03653,,"5-{[Ethyl(Methyl)Amino]Methyl}-2-Methyl-5,6-Dihydropyrimidin-4-Amine",,small molecule,,,,,
C(OC(=O)C1=C(S(=O)(=O)N(C(=O)N(C([H])([H])[H])C2=NC(OC([H])([H])[H])=NC(C([H])([H])[H])=N2)[H])C([H])=C([H])C([H])=C1[H])([H])([H])[H],DB03656,101200-48-0,Tribenuron Methyl,"Sulfmethmeton-methyl
Tribenuron methyl ester
Tribenuron-methyl",small molecule,,,,,
C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB03659,109-73-9,Butylamine,"1-aminobutane
1-butanamine
n-butylamine",small molecule,,,,,
C(C(C([H])([H])[H])(C(=O)C(OC1=NC(N([H])[H])=NC2=C1N(C(=N2)[H])[H])([H])[H])[H])([H])([H])[H],DB03663,,"1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol",,small molecule,,,,,
C(C(=O)ON(C(=O)C1=C(O[H])C([H])=C([H])C([H])=C1[H])[H])([H])([H])[H],DB03667,,Acetic Acid Salicyloyl-Amino-Ester,,small molecule,,,,,
O(C(C(C1=C([H])C([H])=C(F)C([H])=C1[H])([H])[H])([H])[H])[H],DB03669,,4-Fluorophenethyl Alcohol,,small molecule,,,,,
O(C(=O)C(=O)N(C1=C(C(O[H])=O)C2=C(C(N(C(C2([H])[H])([H])[H])[H])([H])[H])S1)[H])[H],DB03670,,"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid",,small molecule,,,,,
C(N(C1=C2C(C(C(C([H])([H])C2=NC2=C(C(=C(C([H])=C12)[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])([H])[H],DB03672,,9-N-Phenylmethylamino-Tacrine,,small molecule,,,,,
C(C(C(C(C(C(C(C(C(C(N(C(=O)N(C1(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB03677,,N-Cyclohexyl-N'-Decylurea,,small molecule,,,,,
O(C(C([O-])=O)(C([O-])=O)[H])[H],DB03680,,Tartronate,,small molecule,,,,,
O(C(=O)C1=C([H])C([H])=C([H])C2=C1OC1=C(C(O[H])=O)C([H])=C([H])C([H])=C12)[H],DB03682,,"Dibenzofuran-4,6-Dicarboxylic Acid",,small molecule,,,,,
O(C(C(C(O[H])=O)([H])[H])([H])[H])[H],DB03688,,3-Hydroxy-Propanoic Acid,,small molecule,,,,,
N(C(C(N(S(=O)(=O)C1=C([H])C([H])=C(Cl)C2=C(C(=NC([H])=C12)[H])[H])[H])([H])[H])([H])[H])([H])[H],DB03693,,N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide,,small molecule,,,,,
N(C(=S)N(C1=C([H])C([H])=C([H])C([H])=C1[H])[H])([H])[H],DB03694,,N-Phenylthiourea,,small molecule,,,,,
C(OC1=C([H])C(C(C2=C(C([H])([H])[H])C3=C(N([H])[H])N=C(N([H])[H])N=C3N=C2[H])([H])[H])=C(OC([H])([H])[H])C([H])=C1[H])([H])([H])[H],"DB03695
DB12918",72732-56-0,Piritrexim,,small molecule,,,,,
N(C(C(C(C(N(C(=O)C1=C([H])C([H])=C(S(N([H])[H])(=O)=O)C([H])=C1[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],DB03697,,4-Sulfonamide-[1-(4-Aminobutane)]Benzamide,,small molecule,,,,,
FC1=C([H])C([H])=C(C(OC(C(N2C([H])([H])C([H])([H])N(C(C(C(C3=C([H])C([H])=C([H])C([H])=C3[H])([H])[H])([H])[H])([H])[H])C([H])([H])C2([H])[H])([H])[H])([H])[H])(C2=C([H])C([H])=C(F)C([H])=C2[H])[H])C([H])=C1[H],DB03701,67469-69-6,Vanoxerine,1-(2-(bis(p-fluorophenyl)methoxy)ethyl)-4-(3-phenylpropyl)piperazine,small molecule,,,,,
O(C1(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[H])[H],DB03703,108-93-0,Cyclohexanol,,small molecule,,,,,
O(C(C(C(C(C(C(C(C(C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],DB03704,505-95-3,12-Hydroxydodecanoic Acid,,small molecule,,,,,
C(N(C1=C([N+]([O-])=O)C(=O)N([H])C(N([H])[H])=N1)[H])([H])([H])[H],DB03705,,6-Methylamino-5-Nitroisocytosine,,small molecule,,,,,
C(C(SC(N([H])[H])=NC1=C([H])C([H])=C([H])C([H])=C1[H])([H])[H])([H])([H])[H],DB03707,,S-Ethyl-N-Phenyl-Isothiourea,,small molecule,,,,,
O(C(C(N(C(C(O[H])([H])[H])([H])[H])C(C(O[H])=O)([H])[H])([H])[H])([H])[H])[H],DB03709,,Bicine,,small molecule,,,,,
C(C(C(=O)C(C(C(C([H])([H])[H])(C([H])([H])[H])O[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB03711,,6-Hydroxy-6-Methyl-Heptan-3-One,,small molecule,,,,,
C(C(=C(N([H])[H])C(O[H])=O)[H])([H])([H])[H],DB03720,,Z-Dehydrobutyrine,,small molecule,,,,,
C(C1=C([H])C([H])=C([H])C2=C1C(C(N(C2=O)[H])([H])[H])([H])[H])([H])([H])[H],DB03722,,"3,4-Dihydro-5-Methyl-Isoquinolinone",,small molecule,,,,,
C(C1=C(C(C(C(O[H])=O)([H])[H])([H])[H])C2=C(C3=NC(=C(C4=C(C([H])([H])[H])C(C(C(C(O[H])=O)([H])[H])([H])[H])=C(C(=C5N=C(C([H])=C1N2[H])C(C(C(C(O[H])=O)([H])[H])([H])[H])=C5C([H])([H])[H])[H])N4[H])[H])C(C(C(C(O[H])=O)([H])[H])([H])[H])=C3C([H])([H])[H])[H])([H])([H])[H],DB03727,,Coproporphyrin I,,small molecule,,,,,
O(C(=O)C1=C([H])C([H])=C(Cl)C([H])=C1[H])[H],DB03728,74-11-3,p-Chlorobenzoic acid,"4-chlorobenzoic acid
Chlorodracylic acid",small molecule,,,,,
O(C1=C([H])C2=C(N(C(=N[H])N2[H])[H])C([H])=C1[H])[H],DB03729,,2-Amino-5-Hydroxy-Benzimidazole,,small molecule,,,,,
C(N1C([H])=NC2=C(N([H])[H])N=C([N+](C([H])([H])[H])=C12)[H])([H])([H])[H],DB03730,,"3,9-Dimethyladenine",,small molecule,,,,,
ClC(C(Cl)([H])[H])([H])[H],DB03733,107-06-2,Ethylene Dichloride,,small molecule,,,,,
C(C(C1=C([H])C(C2=NN([H])C([H])=C2C2=C([H])N([H])C([H])=N2)=C(O[H])C([H])=C1O[H])([H])[H])([H])([H])[H],DB03749,,"4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole",,small molecule,,,,,
C(C(C([H])([H])[H])(C(C(O[H])=O)([H])[H])[H])([H])([H])[H],DB03750,503-74-2,Isovaleric Acid,,small molecule,,,,,
N(C(C(O[H])([H])[H])(C(O[H])([H])[H])C(O[H])([H])[H])([H])[H],DB03754,77-86-1,Tromethamine,"1,1,1-tris(hydroxymethyl)methanamine
2-Amino-2-(hydroxymethyl)-1,3-propanediol
aminotris(hydroxymethyl)methane
THAM
Tris
Tris(hydroxymethyl)aminomethane
Trometamol",small molecule,,"Cream
Injection, solution
Solution","Topical
Intravenous
Intravenous","3.6 g/100mL
36 mg",For the prevention and correction of metabolic acidosis.
